country,GDP (current US$)
Aruba,3126019399.06492
Andorra,3330281523.53915
United Arab Emirates,415021590683.006
Antigua and Barbuda,1471125925.92593
Australia,1552667363236.06
Austria,480368403893.364
Belgium,594104177539.525
Bahrain,38868663031.9149
"Bahamas, The",11208600000.0
Bermuda,7286607000.0
Barbados,4843800000.0
Brunei Darussalam,14006569575.68
Canada,1988336331717.42
Switzerland,800640155387.26
Channel Islands,
Chile,317058508651.76
Curacao,2699612458.10056
Cayman Islands,5898449687.97711
Cyprus,28407867534.0035
Czechia,281777887121.451
Germany,4259934911821.64
Denmark,398303272764.46
Spain,1427380681294.55
Estonia,37191166151.98
Finland,297301883523.251
France,2957879759263.52
Faroe Islands,3649886275.07118
United Kingdom,3131377762925.95
Gibraltar,
Greece,214873879833.648
Greenland,
Guam,6123000000.0
"Hong Kong SAR, China",369176400967.427
Croatia,68955083280.1922
Hungary,181848022233.89
Isle of Man,
Ireland,504182603275.542
Iceland,25602419210.3374
Israel,488526545878.891
Italy,2107702842669.73
Japan,4940877780755.33
St. Kitts and Nevis,860840740.740741
"Korea, Rep.",1810955871380.98
Kuwait,
Liechtenstein,
Lithuania,66445256585.3671
Luxembourg,85506243833.7816
Latvia,39853501579.8211
"Macao SAR, China",30123914808.5691
St. Martin (French part),
Monaco,8596096984.03312
Malta,17364044943.8202
Northern Mariana Islands,
New Caledonia,10071351960.0477
Netherlands,1012846760976.73
Norway,482174854481.956
Nauru,133218896.932607
New Zealand,249885687029.634
Oman,88191977373.212
Panama,63605100000.0
Poland,679444832854.295
Puerto Rico,106525700000.0
Portugal,253663144586.019
French Polynesia,6054676735.37523
Qatar,179677211793.938
Romania,284087563695.798
Saudi Arabia,833541236569.315
Singapore,396986899888.351
San Marino,
Slovak Republic,116527101097.7
Slovenia,61748586534.8672
Sweden,635663801201.765
Sint Maarten (Dutch part),
Seychelles,1454458183.85981
Turks and Caicos Islands,943269800.0
Trinidad and Tobago,24460196270.6866
Uruguay,59319484710.6527
United States,23315080560000.0
British Virgin Islands,
Virgin Islands (U.S.),
