country,GDP growth (annual %)
Ireland,7.458876735329642
Northern Mariana Islands,5.473813537166375
Malta,4.727708996785105
Cyprus,4.291799312219737
Estonia,3.988996447742332
Israel,3.963239534456168
Poland,3.8860609000761897
Romania,3.7264754733699452
Monaco,3.566825254830422
Lithuania,3.5631846383484658
Isle of Man,3.527346993674417
Slovenia,3.30039513814979
Hungary,3.210525670052959
Croatia,2.9475618224706763
Singapore,2.7418279324103882
Seychelles,2.722021635343913
Iceland,2.560606505322337
New Zealand,2.5597947245879884
"Korea, Rep.",2.4489679473345114
Panama,2.43342376157031
Luxembourg,2.3566075127665806
Latvia,2.351289600002153
Chile,2.26021730402207
Denmark,2.068636269538928
United States,2.0544832417860337
